catalog_id,source_file,web_file,media_type,subject,service_context,room_or_area,city,state,country,creator,credit_line,copyright_notice,rights_usage_terms,permission_status,client_or_people_approval,usage_scope,page_assignment,alt_text,caption,keywords,status,notes
AUD-0001,MEDIA/AUDIO/01-hearts-with-fire.mp3,,audio,01 hearts with fire,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0002,MEDIA/AUDIO/anthill-100-41020-13.mp3,,audio,anthill 100 41020 13,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0003,MEDIA/AUDIO/greif-untagged-master.mp3,,audio,greif untagged master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0004,MEDIA/AUDIO/hope-2untagged-master.mp3,,audio,hope 2untagged master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0005,MEDIA/AUDIO/hurting-untagged2-master.mp3,,audio,hurting untagged2 master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0006,MEDIA/AUDIO/hyper4.wav,,audio,hyper4,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0007,MEDIA/AUDIO/loveallofme-millie1-1-master.wav,,audio,loveallofme millie1 1 master,,,,,,Checkmark Audio,Recorded and mixed at Checkmark Audio,Copyright Checkmark Audio,,verified,approved,public-website,,,,,pending-human-approval,
AUD-0008,MEDIA/AUDIO/loveallofme-millieunmixed.wav,,audio,loveallofme millieunmixed,,,,,,Checkmark Audio,Recorded and mixed at Checkmark Audio,Copyright Checkmark Audio,,verified,approved,public-website,,,,,pending-human-approval,
AUD-0009,MEDIA/AUDIO/memories-8-notag-master.mp3,,audio,memories 8 notag master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0010,MEDIA/AUDIO/ontiva-com-hoops-320k.mp3,,audio,ontiva com hoops 320k,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0011,MEDIA/AUDIO/prollyintheclub-98.mp3,,audio,prollyintheclub 98,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0012,MEDIA/AUDIO/punk2-3-23-master.wav,,audio,punk2 3 23 master,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
AUD-0013,MEDIA/AUDIO/sabrina.mp3,,audio,sabrina,,,,,,,,,,unverified,not-applicable,public-website,,,,,pending-human-approval,
